rtc_OFF_dur_med,pfc_OFF_dur_med,rtc_ON_dur_med,pfc_ON_dur_med
0.093,0.0869999999999891,0.152000000000044,0.217000000000098
0.119,0.0889999999999418,0.172000000000025,0.250999999999976
0.134999999999991,0.112999999999374,0.158500000000004,0.202999999999975
0.135000000000218,0.0990000000001601,0.163000000000466,0.208999999998923
0.110999999999876,0.105999999999767,0.168999999999869,0.200000000000045
0.105999999999881,0.106999999999971,0.182999999999993,0.292000000000826
0.112999999999829,0.121499999999742,0.198999999999614,0.313000000000102
0.114000000000487,0.115999999999985,0.206000000000131,0.257999999999811
0.110999999999876,0.115999999999985,0.207000000000335,0.240999999999985
0.11200000000008,0.108000000000175,0.158000000000357,0.268000000000029
0.0960000000013679,0.103999999999985,0.158000000000357,0.268000000000029
0.104999999999563,0.103749999999877,0.184000000000196,0.195000000000618
0.104,0.116250000000036,0.195499999999811,0.180000000000291
0.115,0.127,0.180000000000291,0.197500000000218
0.153,0.125,0.181999999999789,0.213749999999891
