rtc_OFF_isi_med,pfc_OFF_isi_med,rtc_ON_isi_med,pfc_ON_isi_med
0.637250000000222,0.342000000000098,0.469000000000051,0.420000000000073
0.353250000000344,0.335000000000946,0.461999999999989,0.461999999999989
0.240999999999985,0.349000000000046,0.613000000000056,0.462999999999852
0.260499999999411,0.344000000000051,0.641999999999825,0.477000000000771
0.326499999999214,0.49150000000003,0.608999999999469,0.483999999999961
0.349999999999454,0.40099999999984,0.502000000000407,0.480999999999995
0.369999999999891,0.395000000000437,0.434000000000196,0.458000000000538
0.290999999999258,0.419000000000324,0.396499999999833,0.433000000000902
0.321500000000015,0.419000000000324,0.381000000000313,0.421000000000276
0.306999999999789,0.376000000000204,0.363000000000284,0.42200000000048
0.319999999999709,0.371000000000095,0.363000000000284,0.42200000000048
0.308999999999287,0.612499999999727,0.363000000000284,0.400000000000546
0.515500000000202,0.5756250000004,0.452000000000226,0.378000000000611
0.421500000000378,0.414749999999913,0.369000000000597,0.743749999999977
0.434749999999894,0.42450000000008,0.431499999999687,0.677500000000009
