rtc_off_onset_var,pfc_off_onset_var
41.3638834243691,87.2276654935898
56.6740949462169,101.556631685791
46.0941686015561,82.4847423372645
37.2536961668861,50.9218938684994
37.8928886212611,86.1333425379597
50.5229073715735,51.823636759786
50.2627401822061,88.1836871549896
23.5075739833458,51.7030362096524
39.2827972042261,60.8291744649299
38.9789969969456,39.5112324917373
15.7999794343032,53.6743015092103
15.7999794343032,53.6743015092103
34.9619092118563,48.5209747215691
37.1134651807583,55.4330858879349
