rtc_off_onset_peak,pfc_off_onset_peak
2.9198879229562,1.13676602965734
2.08446805686428,0.6649163823078
3.71939503347339,1.07233996903484
3.69207046918264,1.30301422310511
3.5784300491588,1.43313351619409
3.36348093952531,1.12401685642848
3.08440258501398,2.08184588826263
2.97629881939037,1.72516781048122
3.06883120462075,2.0103262930641
3.08940842333486,1.48665199882621
2.65603655472869,1.39371664963771
2.65603655472869,1.39371664963771
3.83638590045757,2.77056787401403
3.34715341404661,2.03178957989246
