rtc_off_onset_peak_timing,pfc_off_onset_peak_timing
32.9548191605946,43.559070159141
31.9011619513977,28.9150349397582
24.8547920166683,46.9817269265465
26.2781707526228,39.8004220005767
29.3797247427825,42.0606824735672
23.3358584444114,49.6727873062936
27.752104487288,41.5194662403119
28.3976517927815,44.6885693817391
31.900404234421,46.5647748975383
32.5726462649751,66.9430867977879
37.1918848066681,48.8374142104152
37.1918848066681,48.8374142104152
23.5766392558712,27.4763181288015
26.5692159250797,41.6468566322182
