rtc_off_onset_rmse,pfc_off_onset_rmse
0.40444034957395,0.791184794503876
0.547807661215105,0.668483786097874
0.36642489646435,0.660809861661767
0.433014133159674,0.478497470433473
0.327022015407302,0.531766924075878
0.895308868971341,0.610848263494168
0.325465192727826,0.484994949897678
0.734447944194256,0.405133762508323
0.431695002447141,0.483322394716625
0.296239014519088,0.38811976353911
0.630947810672021,0.34702967969876
0.630947810672021,0.34702967969876
0.878280930035049,0.964887554696294
0.556048702574166,0.757375881811262
