rtc_on_onset_peak_before,pfc_on_onset_peak_before,rtc_on_onset_peak_after,pfc_on_onset_peak_after
2.30640444580515,1.82164270259412,0.855697939340996,1.2186821583029
2.34316142313135,1.66886540704374,0.57868699657771,0.927486441940212
2.60539666234921,1.90173793843323,0.410359652613693,0.740473018218151
2.94206258547134,2.231209277811,0.187855695467789,0.580192649706691
2.57634577184934,1.7509659131157,0.221813487734295,0.872885754442432
2.27259361155872,1.47134591653857,0.498708644841623,0.845734266986736
1.22585614258982,1.47507289083721,1.54680756901334,1.70537532753308
2.018466628498,1.61893727629729,1.30399118680097,1.40582689810647
1.47818434754198,1.59769347703881,1.39891726237091,1.35598041831609
1.71435282181971,2.57650574405897,1.55344601003826,1.32217366888888
3.01714948743855,1.93070256737196,1.24053420234003,0.77783188578605
3.01714948743855,1.93070256737196,1.24053420234003,0.77783188578605
1.63988780770742,1.6467045497849,1.24197385436665,0.886883859024491
2.03263067179041,2.19319855325133,1.39355028589997,1.23492549243239
