RTC BE Short,RTC BE Long,RTC AF Short,RTC AF Long
0.96667782389164,0.97804021238593,1.25704013431485,1.08480058793484
1.87143160994438,0.733758695060295,0.958529612035909,1.3652779448294
0.972787891917803,1.83739547560966,0.93511857411055,0.572645509567764
1.16313748608444,0.652499867935112,0.602506406079225,1.50349243107501
1.16313748608444,0.652499867935112,0.602506406079225,1.50349243107501
1.52691409029527,1.63773849611178,1.21290648700765,0.299182625134379
0.926203177492918,1.4498599005876,0.81455305111618,0.236517507800161
1.13592689026403,1.26813034162788,0.892884143170984,1.19044323529564
0.213930498506198,0.884728074974067,1.46517397832284,1.64177535865974
0.118953568396581,-1.00549591818145,1.73686776455523,1.61327548958362
1.7846989429277,-0.393989823830139,0.487191712161414,0.280603027460165
