rtc_abs_ang,pfc_abs_ang
11.5737975741911,105.855143031948
20.5529947762803,105.910256159118
26.2418327990564,86.4657331606318
46.3046837024453,79.7437836210431
23.0840013534345,69.5292037045818
44.7879649289078,71.2203816435094
37.0956870483201,85.8655705481796
6.499632700142,55.5551998693997
28.9441602937758,49.6620446307267
70.2128725575757,60.8526535769863
1.62628721985475,69.7143088081398
1.62628721985475,69.7143088081398
30.0889802511378,114.517450648347
41.3577092649363,121.11885454782
