RTC OFF ON to OFF,Shuff OFF ON to OFF,RTC OFF OFF to ON,Shuff OFF OFF to ON,RTC sust. OFF,Shuff sust. OFF
0.0707456978967495,0.100189589688081,0.0280433397068196,0.101411763030024,0.0235818992989165,0.0828290525845621
0.0711331679073615,0.126019503071204,0.021505376344086,0.120766624737842,0.0272952853598015,0.124293144905292
0.0738045738045738,0.144399927628822,0.0135135135135135,0.143812493211317,0.00831600831600832,0.0395587010723988
0.082122552116235,0.151377658356147,0.032849020846494,0.15261287193997,0.018319646241314,0.0661058914317684
0.0819327731092437,0.153651899432375,0.0469187675070028,0.154480211105148,0.030812324929972,0.110403134597597
0.0900678593460827,0.149706486294364,0.0339296730413325,0.155866041953647,0.0333127698951265,0.0908971225120836
0.0695067264573991,0.148619194632471,0.039237668161435,0.153028071380404,0.015695067264574,0.0804961721120376
0.0779283639883833,0.14805092350072,0.0333978702807357,0.149469314658205,0.0208131655372701,0.0929475086664192
0.0421286031042129,0.128420662561268,0.0199556541019956,0.129667929538989,0.0133037694013304,0.0880885582054854
0.0291139240506329,0.126238762800992,0.010126582278481,0.125071839618877,0.0113924050632911,0.153315736474848
0.028743625405656,0.10971739492288,0.00695410292072323,0.112915371897176,0.0162262401483542,0.16379404622143
0.0399348003259984,0.105470288725805,0.0146699266503667,0.108673662198943,0.008693289866884,0.0453195011745138
0.0544267053701016,0.111739181911138,0.0174165457184325,0.113446939328766,0.00725689404934688,0.0442425974230569
0.0490331491712707,0.127771131350497,0.0179558011049724,0.131212410323161,0.0172651933701657,0.0650253814230725
0.127811300054855,0.130325343558051,0.0532089961601755,0.131894587409441,0.013713658804169,0.052820063671574
0.0942737430167598,0.124174027786887,0.0279329608938547,0.126177715090475,0.0146648044692737,0.0536778741715844
0.114026236125126,0.124630561931333,0.0221997981836529,0.124344195856542,0.0100908173562059,0.0377234315381203
0.11599625818522,0.13094082636185,0.0346117867165575,0.13732404886294,0.0243217960710945,0.0604357956804377
0.0688259109311741,0.0964203941257133,0.0121457489878543,0.0972979256775742,0.00607287449392713,0.0235694387729703
0.0827873734365694,0.102959067987484,0.0256104824300179,0.104662897405274,0.015485407980941,0.0481557470742729
0.0891677675033025,0.116549113316577,0.0290620871862616,0.117503446517662,0.0250990752972259,0.0792329587705755
0.06209453197405,0.106682959890528,0.0157553290083411,0.107131517746173,0.00741427247451344,0.0397660588576569
