PFC_OFF to ON,Shuff OFF to ON,PFC ON to OFF,Shuff ON to OFF,PFC sustained ON,Shuff sustained ON
0.0420749279538905,0.117850841999297,0.13314121037464,0.114018598302999,0.723342939481268,0.531973981629176
0.0441495778045838,0.116278707594892,0.128588661037394,0.116595149852507,0.746682750301568,0.510284618602316
0.0464723278411491,0.116421995905165,0.140261934938741,0.11752021773666,0.723700887198986,0.531457347558988
0.048155737704918,0.116078155822434,0.154508196721311,0.116826297072205,0.673565573770492,0.480062105850996
0.0643015521064302,0.135439371030165,0.170731707317073,0.131413216953845,0.680709534368071,0.454102357922493
0.0911392405063291,0.130847098910635,0.187974683544304,0.134170047236178,0.587341772151899,0.395342650204254
0.066759388038943,0.108286413832983,0.174779786740844,0.108432634260454,0.664812239221141,0.523064351604868
0.0518880738929639,0.128275244792659,0.170062483020918,0.129399851475866,0.729693018201576,0.508716973870021
0.0537010159651669,0.136260728156816,0.181422351233672,0.135340370997804,0.714078374455733,0.500739829897787
0.0635359116022099,0.142456973107654,0.225828729281768,0.143925023218094,0.651933701657459,0.436042926568617
0.0619857377948437,0.151475456223235,0.215578716401536,0.152958035097995,0.487657707076248,0.363921953181396
0.0628491620111732,0.152360216145482,0.214385474860335,0.154601442555983,0.55377094972067,0.386879775489978
0.0635721493440969,0.155881775981203,0.25933400605449,0.159409256180797,0.538849646821393,0.337019449958783
0.0523854069223573,0.145654827142217,0.237605238540692,0.146724799433845,0.602432179607109,0.405570656032715
0.0455465587044534,0.148924901745286,0.217611336032389,0.145949191844475,0.654858299595142,0.428163208644269
0.0500297796307326,0.130486205846289,0.204288266825491,0.130617008526045,0.670637284097677,0.511031116284486
0.0495376486129458,0.128494069507531,0.204095112285337,0.130460855745818,0.656538969616909,0.500786676403352
0.0222428174235403,0.132747699598364,0.201112140871177,0.13601215450629,0.730305838739574,0.501133787909871
