PFC OFF ON to OFF,Shuff OFF ON to OFF,PFC OFF OFF to ON,Shuff OFF OFF to ON,PFC sust. OFF,Shuff sust. OFF
0.0368876080691643,0.064593359773416,0.0103746397694524,0.066397282811832,0.00230547550432277,0.0260232269817754
0.0265379975874548,0.0713075843101665,0.00916767189384801,0.07212578158303,0.00265379975874548,0.0374183328177944
0.0274609209970427,0.0651671865817002,0.0135192226446979,0.0657475326907434,0.00295732995352767,0.0275806994768598
0.0397540983606557,0.0746982295874511,0.0153688524590164,0.0760056838682738,0.00737704918032787,0.0433950577829156
0.0221729490022173,0.0696097466625171,0.00665188470066519,0.0700624227319036,0,0.0124326516737273
0.0405063291139241,0.0836163165071642,0.00949367088607595,0.0850086402835822,0.00569620253164557,0.0319505488516318
0.0310616597125637,0.0664032128980349,0.00695410292072323,0.0677475006058254,0.00370885489105239,0.0257198432467551
0.0149415919587069,0.0593188476116193,0.0032599837000815,0.0612398886519929,0.00135832654170062,0.0108529414456348
0.0123367198838897,0.0501121109452185,0.00145137880986938,0.050222892639515,0.000725689404934688,0.00751745645100334
0.0179558011049724,0.0761930757951469,0.00621546961325967,0.0788837252169903,0.00276243093922652,0.0178072628218321
0.0795392210641799,0.0889679034003046,0.0394953373560066,0.0908713988779018,0.00822819528250137,0.0264270883302487
0.0544692737430168,0.0820135279756658,0.0181564245810056,0.0832700827019657,0.00558659217877095,0.016896718509827
0.0544904137235116,0.0957392659521391,0.0131180625630676,0.0961172486987334,0.00201816347124117,0.02108888496302
0.048643592142189,0.0827735666052222,0.00748362956033676,0.0848627087546513,0.00561272217025257,0.0235955111229218
0.0334008097165992,0.0741435012469109,0.00506072874493927,0.0748526099692065,0.00101214574898785,0.0144193397719219
0.0256104824300179,0.0591447147455165,0.00655151876116736,0.0586144679590499,0.00178677784395473,0.0156653585639706
0.0290620871862616,0.0619976453982166,0.00726552179656539,0.0636295988577736,0.00330250990752972,0.0200609378116984
0.0129749768303985,0.0590578625240672,0.00556070435588508,0.0624970498066014,0.00092678405931418,0.0139236649619365
