RTC_OFF to ON,Shuff OFF to ON,RTC ON to OFF,Shuff ON to OFF,RTC sustained ON,Shuff sustained ON
0.112173358827279,0.13235664734289,0.253027405991077,0.135454133252817,0.398980242192479,0.274737743643144
0.114143920595533,0.126986219163733,0.290322580645161,0.142920139559137,0.363110008271299,0.205986875581333
0.0873180873180873,0.162072735709011,0.391891891891892,0.161789931857444,0.276507276507277,0.135031337090777
0.0859128237523689,0.143731280619811,0.317751105495894,0.14164304215974,0.342387871130764,0.17893743050513
0.0938375350140056,0.138935749170599,0.337535014005602,0.137085639165625,0.26890756302521,0.155914622631755
0.0826650215916101,0.14550430990785,0.358420727945713,0.143772881109618,0.276372609500308,0.163863673134359
0.0874439461883408,0.142605399950206,0.297645739910314,0.143136557834749,0.355381165919283,0.168764107280944
0.0774443368828654,0.145217667544318,0.336398838334947,0.145872096497283,0.330106485963214,0.176198356796487
0.148558758314856,0.130344981611846,0.250554323725055,0.131316813964239,0.341463414634146,0.216972073452858
0.135443037974684,0.107193948143119,0.306329113924051,0.108574417818034,0.376582278481013,0.21458983738346
0.13769123783032,0.0924553630249819,0.291608715808994,0.0916105732807221,0.378766805748725,0.279098114059563
0.0939961966856832,0.15770991037485,0.294213528932355,0.158250327801904,0.481934256995382,0.294569626011429
0.110304789550073,0.167444226129179,0.314949201741655,0.169514764280403,0.405660377358491,0.240283580786438
0.107734806629834,0.165511503911137,0.378453038674033,0.16683622277901,0.339779005524862,0.206688317455862
0.0959956116291827,0.172223421560334,0.300054854635217,0.17368064299083,0.268787712561711,0.181910588800161
0.0956703910614525,0.173209976356319,0.322625698324022,0.174335013168081,0.308659217877095,0.196644071845353
0.0837537840565086,0.166368165504998,0.304742684157417,0.169730525370717,0.343087790110999,0.210832155587438
0.078578110383536,0.151868464959933,0.293732460243218,0.152152343674035,0.333021515434986,0.213191777147299
0.0495951417004049,0.162741637124331,0.295546558704453,0.160122096170152,0.48582995951417,0.326315049942387
0.0655151876116736,0.155673505315966,0.291840381179273,0.156842809293645,0.427039904705182,0.305560877783973
0.0640686922060766,0.147271507318262,0.295904887714663,0.150294700818329,0.394980184940555,0.260384929829019
0.0472659870250232,0.157862425151498,0.298424467099166,0.157739255749401,0.493049119555144,0.316492871862061
