RTC_OFFtoON,PFC OFF to ON,RTC ON to OFF,PFC ON to OFF,RTC sustained ON,PFC sustained ON
0.706118251576849,0.571074305448123,0.276529456435118,0.15625096886651,0.284705650530546,0.0885929906363012
0.564461580737783,0.372162342115286,0.178073837790611,0.127106725121507,0.219604109145358,0.0709224478724892
0.51111226311891,0.421391845152236,0.0939662000967947,0.2056232696714,0.210219448327909,0.107224617563049
0.542501139256789,0.532195991527679,0.215244103783167,0.202206620305559,0.277125772673721,0.169997450337125
0.533236318014434,0.318532246780275,0.303720244627755,0.0949422592210215,0.279089221898258,0
0.601629639272839,0.484430919776925,0.21768483125672,0.111678893514892,0.366488717953618,0.178281836662554
0.467683374474518,0.467773445846066,0.256408303440591,0.102647372353767,0.19497905121164,0.144202079906545
0.526361890528866,0.251886079388032,0.223442987994609,0.0532330115524371,0.223923866662923,0.125157456022852
0.328051594377299,0.246182402840222,0.153898147159011,0.0288987498248447,0.151027212527381,0.0965339020803814
0.230625866450618,0.235661848764951,0.0809661256229942,0.0787928003674065,0.0743068214994361,0.15512945290164
0.261978744809425,0.894021529385705,0.0615868575188845,0.434628913428239,0.0990648959634238,0.311354591155746
0.378635545692098,0.66414986755817,0.134990634837642,0.218042590950579,0.191822276097179,0.330631783652065
0.487087022109981,0.569154287758503,0.153521512536887,0.136479796713537,0.164025045364198,0.0956979695597979
0.383757650519387,0.58767060714187,0.136845295812716,0.0881851365594854,0.265514680457371,0.237872455528209
0.980709481098918,0.450488703053942,0.403420619490613,0.0676092489897306,0.259629728760611,0.0701936264071366
0.759206612662647,0.433013880280136,0.22137792615618,0.111773065410139,0.273200172242232,0.114059173089355
0.914913921257538,0.468761144065925,0.178535057714034,0.114184623618412,0.267494682873929,0.164623904352263
0.885867772551459,0.219699397774699,0.252044612747348,0.0889754696116507,0.402440239220134,0.0665617897189968
0.713810719767838,NaN,0.124830502842402,NaN,0.257658850192546,NaN
0.804080447257282,NaN,0.244694949833554,NaN,0.321569260613009,NaN
0.765066030670693,NaN,0.24732965753386,NaN,0.316775691412736,NaN
0.582047330124398,NaN,0.147065301974627,NaN,0.186447253952244,NaN
