rtc_on,rtc_on_shuff,rtc_off,rtc_off_shuff
0.82791586998088,0.612242389717682,0.17208413001912,0.387757610282318
0.845326716294458,0.547773669505476,0.154673283705542,0.452226330494524
0.855509355509355,0.558902346603004,0.144490644490644,0.441097653396996
0.824384080859128,0.553178611666704,0.175615919140872,0.446821388333296
0.78781512605042,0.514937607439449,0.21218487394958,0.485062392560551
0.800123380629241,0.533319856517232,0.199876619370759,0.466680143482768
0.827354260089686,0.539981773442214,0.172645739910314,0.460018226557786
0.818973862536302,0.539927715871581,0.181026137463698,0.460072284128419
0.893569844789357,0.564437484004996,0.106430155210643,0.435562515995004
0.927215189873418,0.521706998082405,0.0727848101265823,0.478293001917595
0.928604543347242,0.548570154878904,0.0713954566527585,0.451429845121096
0.907362129856017,0.649762090263098,0.0926378701439826,0.350237909736902
0.874455732946299,0.626966546070638,0.125544267053701,0.373033453929362
0.87707182320442,0.589013793333588,0.12292817679558,0.410986206666412
0.72078990674712,0.585199919796276,0.27921009325288,0.414800080203724
0.777932960893855,0.596194992639138,0.222067039106145,0.403805007360862
0.782038345105954,0.608425137562768,0.217961654894046,0.391574862437232
0.770813844714687,0.585731682244719,0.229186155285313,0.414268317755281
0.8582995951417,0.682984145723951,0.1417004048583,0.317015854276049
0.809410363311495,0.654303336335807,0.190589636688505,0.345696663664193
0.785336856010568,0.606912296396158,0.214663143989432,0.393087703603842
0.860982391102873,0.662797932753434,0.139017608897127,0.337202067246566
