PFC_ON,PFC_ON_Shuff,PFC_OFF,PFC_OFF_Shuff
0.907204610951009,0.778635978254759,0.0927953890489914,0.221364021745241
0.924487334137515,0.758036027707039,0.0755126658624849,0.241963972292961
0.915927334178285,0.777845907861871,0.0840726658217153,0.222154092138129
0.888319672131147,0.738477773269174,0.111680327868852,0.261522226730827
0.933481152993348,0.751953479014914,0.0665188470066519,0.248046520985086
0.889873417721519,0.705505437664454,0.110126582278481,0.294494562335546
0.9221140472879,0.769789764099096,0.0778859527121001,0.230210235900903
0.962781852757403,0.783393419175669,0.0372181472425971,0.216606580824331
0.960812772133527,0.790107172175795,0.0391872278664731,0.209892827824205
0.953038674033149,0.74161680653726,0.0469613259668508,0.25838319346274
0.783872737246297,0.700451924529644,0.216127262753703,0.299548075470356
0.847067039106145,0.719898163133909,0.152932960893855,0.280101836866091
0.886982845610494,0.688215118293211,0.113017154389506,0.311784881706789
0.905519176800748,0.722662749811324,0.0944808231992516,0.277337250188676
0.931174089068826,0.743572723740011,0.0688259109311741,0.256427276259989
0.934484812388326,0.783601698473685,0.0655151876116736,0.216398301526314
0.917437252311757,0.773630496783956,0.0825627476882431,0.226369503216044
0.954587581093605,0.779144299845265,0.0454124189063948,0.220855700154735
