RTC OFF ON to OFF,PFC OFF ON to OFF,RTC OFF OFF to ON,PFC OFF OFF to ON,RTC sust. OFF,PFC sust. OFF
0.0707456978967495,0.0368876080691643,0.0280433397068196,0.0103746397694524,0.0235818992989165,0.00230547550432277
0.0711331679073615,0.0265379975874548,0.021505376344086,0.00916767189384801,0.0272952853598015,0.00265379975874548
0.0738045738045738,0.0274609209970427,0.0135135135135135,0.0135192226446979,0.00831600831600832,0.00295732995352767
0.082122552116235,0.0397540983606557,0.032849020846494,0.0153688524590164,0.018319646241314,0.00737704918032787
0.0819327731092437,0.0221729490022173,0.0469187675070028,0.00665188470066519,0.030812324929972,0
0.0900678593460827,0.0405063291139241,0.0339296730413325,0.00949367088607595,0.0333127698951265,0.00569620253164557
0.0695067264573991,0.0310616597125637,0.039237668161435,0.00695410292072323,0.015695067264574,0.00370885489105239
0.0779283639883833,0.0149415919587069,0.0333978702807357,0.0032599837000815,0.0208131655372701,0.00135832654170062
0.0421286031042129,0.0123367198838897,0.0199556541019956,0.00145137880986938,0.0133037694013304,0.000725689404934688
0.0291139240506329,0.0179558011049724,0.010126582278481,0.00621546961325967,0.0113924050632911,0.00276243093922652
0.028743625405656,0.0795392210641799,0.00695410292072323,0.0394953373560066,0.0162262401483542,0.00822819528250137
0.0399348003259984,0.0544692737430168,0.0146699266503667,0.0181564245810056,0.008693289866884,0.00558659217877095
0.0544267053701016,0.0544904137235116,0.0174165457184325,0.0131180625630676,0.00725689404934688,0.00201816347124117
0.0490331491712707,0.048643592142189,0.0179558011049724,0.00748362956033676,0.0172651933701657,0.00561272217025257
0.127811300054855,0.0334008097165992,0.0532089961601755,0.00506072874493927,0.013713658804169,0.00101214574898785
0.0942737430167598,0.0256104824300179,0.0279329608938547,0.00655151876116736,0.0146648044692737,0.00178677784395473
0.114026236125126,0.0290620871862616,0.0221997981836529,0.00726552179656539,0.0100908173562059,0.00330250990752972
0.11599625818522,0.0129749768303985,0.0346117867165575,0.00556070435588508,0.0243217960710945,0.00092678405931418
0.0688259109311741,NaN,0.0121457489878543,NaN,0.00607287449392713,NaN
0.0827873734365694,NaN,0.0256104824300179,NaN,0.015485407980941,NaN
0.0891677675033025,NaN,0.0290620871862616,NaN,0.0250990752972259,NaN
0.06209453197405,NaN,0.0157553290083411,NaN,0.00741427247451344,NaN
