rtc_on,pfc_on,rtc_off,pfc_off
0.82791586998088,0.907204610951009,0.17208413001912,0.0927953890489914
0.845326716294458,0.924487334137515,0.154673283705542,0.0755126658624849
0.855509355509355,0.915927334178285,0.144490644490644,0.0840726658217153
0.824384080859128,0.888319672131147,0.175615919140872,0.111680327868852
0.78781512605042,0.933481152993348,0.21218487394958,0.0665188470066519
0.800123380629241,0.889873417721519,0.199876619370759,0.110126582278481
0.827354260089686,0.9221140472879,0.172645739910314,0.0778859527121001
0.818973862536302,0.962781852757403,0.181026137463698,0.0372181472425971
0.893569844789357,0.960812772133527,0.106430155210643,0.0391872278664731
0.927215189873418,0.953038674033149,0.0727848101265823,0.0469613259668508
0.928604543347242,0.783872737246297,0.0713954566527585,0.216127262753703
0.907362129856017,0.847067039106145,0.0926378701439826,0.152932960893855
0.874455732946299,0.886982845610494,0.125544267053701,0.113017154389506
0.87707182320442,0.905519176800748,0.12292817679558,0.0944808231992516
0.72078990674712,0.931174089068826,0.27921009325288,0.0688259109311741
0.777932960893855,0.934484812388326,0.222067039106145,0.0655151876116736
0.782038345105954,0.917437252311757,0.217961654894046,0.0825627476882431
0.770813844714687,0.954587581093605,0.229186155285313,0.0454124189063948
0.8582995951417,NaN,0.1417004048583,NaN
0.809410363311495,NaN,0.190589636688505,NaN
0.785336856010568,NaN,0.214663143989432,NaN
0.860982391102873,NaN,0.139017608897127,NaN
