RTC E,PFC E,RTC L,PFC L,RTC LL,PFC LL,description
0.0970350404312668,0.0530098831985624,0.304582210242588,0.168912848158131,0.452830188679245,0.730458221024259,Replay Occurance Fraction UP-State
0.131756756756757,0.0810810810810811,0.280405405405405,0.179054054054054,0.378378378378378,0.695945945945946,Replay Occurance Fraction UP-State
0.0962566844919786,0.0641711229946524,0.371657754010695,0.219251336898396,0.355614973262032,0.655080213903743,Replay Occurance Fraction UP-State
0.122715404699739,0.0600522193211488,0.29242819843342,0.224543080939948,0.245430809399478,0.483028720626632,Replay Occurance Fraction UP-State
0.0863509749303621,0.0417827298050139,0.3008356545961,0.214484679665738,0.325905292479109,0.565459610027855,Replay Occurance Fraction UP-State
0.0915492957746479,0.0633802816901408,0.285211267605634,0.221830985915493,0.355633802816901,0.577464788732394,Replay Occurance Fraction UP-State
0.0754716981132075,0.0512129380053908,0.291105121293801,0.23989218328841,0.336927223719677,0.638814016172507,Replay Occurance Fraction UP-State
0.0597609561752988,0.051792828685259,0.278884462151394,0.239043824701195,0.462151394422311,0.633466135458167,Replay Occurance Fraction UP-State
0.0719602977667494,0.054590570719603,0.315136476426799,0.225806451612903,0.409429280397022,0.630272952853598,Replay Occurance Fraction UP-State
0.0580808080808081,0.047979797979798,0.30050505050505,0.23989898989899,0.398989898989899,0.623737373737374,Replay Occurance Fraction UP-State
0.0543478260869565,0.0181159420289855,0.297101449275362,0.221014492753623,0.532608695652174,0.72463768115942,Replay Occurance Fraction UP-State
