RTC ON,PFC ON,RTC OFF,PFC OFF,description
0.896675651392633,0.963162623539982,0.103324348607367,0.036837376460018,Replay Occurance Fraction
0.85472972972973,0.966216216216216,0.14527027027027,0.0337837837837838,Replay Occurance Fraction
0.871657754010695,0.946524064171123,0.128342245989305,0.053475935828877,Replay Occurance Fraction
0.712793733681462,0.801566579634465,0.287206266318538,0.198433420365535,Replay Occurance Fraction
0.757660167130919,0.838440111420613,0.242339832869081,0.161559888579387,Replay Occurance Fraction
0.788732394366197,0.887323943661972,0.211267605633803,0.112676056338028,Replay Occurance Fraction
0.76010781671159,0.93800539083558,0.23989218328841,0.0619946091644205,Replay Occurance Fraction
0.816733067729084,0.936254980079681,0.183266932270916,0.0637450199203187,Replay Occurance Fraction
0.818858560794045,0.915632754342432,0.181141439205955,0.0843672456575682,Replay Occurance Fraction
0.785353535353535,0.914141414141414,0.214646464646465,0.0858585858585859,Replay Occurance Fraction
0.905797101449275,0.967391304347826,0.0942028985507246,0.0326086956521739,Replay Occurance Fraction
