RTC E,PFC E,RTC L,PFC L,RTC LL,PFC LL,description
0.0386343216531896,0.0116801437556155,0.0197663971248877,0.00449236298292902,0.0107816711590297,0.00269541778975741,Replay Occurance Fraction UP-State
0.0675675675675676,0.0135135135135135,0.0202702702702703,0,0.0101351351351351,0,Replay Occurance Fraction UP-State
0.0508021390374332,0.0294117647058824,0.0213903743315508,0.00802139037433155,0.0160427807486631,0.00267379679144385,Replay Occurance Fraction UP-State
0.12532637075718,0.0548302872062663,0.0496083550913838,0.031331592689295,0.0130548302872063,0.00783289817232376,Replay Occurance Fraction UP-State
0.0891364902506964,0.0501392757660167,0.0389972144846797,0.0222841225626741,0.0194986072423398,0.00278551532033426,Replay Occurance Fraction UP-State
0.0845070422535211,0.0457746478873239,0.0211267605633803,0.0140845070422535,0.0105633802816901,0,Replay Occurance Fraction UP-State
0.110512129380054,0.0296495956873315,0.0350404312668464,0.00539083557951483,0.0161725067385445,0,Replay Occurance Fraction UP-State
0.0876494023904383,0.0278884462151394,0.0159362549800797,0.00398406374501992,0.00796812749003984,0,Replay Occurance Fraction UP-State
0.0769230769230769,0.0372208436724566,0.0248138957816377,0.00992555831265509,0.0148883374689826,0,Replay Occurance Fraction UP-State
0.0858585858585859,0.0328282828282828,0.0277777777777778,0.00757575757575758,0.0303030303030303,0.00505050505050505,Replay Occurance Fraction UP-State
0.0471014492753623,0.0108695652173913,0,0.0036231884057971,0.0072463768115942,0.0036231884057971,Replay Occurance Fraction UP-State
